airport_id,icao,iata,name,lat,long,country,alt,utcoffset,tzolson
2452,SBLJ,LAJ,Lages Airport,-27.7821006775,-50.28150177,Brazil,3065,-3,America/Sao_Paulo
2453,SBLN,LIP,Lins Airport,-21.663999557495,-49.730499267578,Brazil,1559,-3,America/Sao_Paulo
2454,SBLO,LDB,Governador José Richa Airport,-23.3335990906,-51.1301002502,Brazil,1867,-3,America/Sao_Paulo
2455,SBLP,LAZ,Bom Jesus da Lapa Airport,-13.2621002197,-43.4081001282,Brazil,1454,-3,America/Fortaleza
2456,SBLS,,Lagoa Santa Airport,-19.661600112915,-43.8964004516602,Brazil,2795,-3,America/Sao_Paulo
2457,SBMA,MAB,João Correa da Rocha Airport,-5.36858987808,-49.1380004883,Brazil,357,-3,America/Belem
2458,SBMD,MEU,Monte Dourado Airport,-0.889839,-52.6022,Brazil,677,-3,America/Belem
2459,SBMG,MGF,Regional de Maringá - Sílvio Nane Junior Airport,-23.4794445038,-52.01222229,Brazil,1788,-3,America/Sao_Paulo
2460,SBMK,MOC,Mário Ribeiro Airport,-16.7068996429,-43.818901062,Brazil,2191,-3,America/Sao_Paulo
2461,SBMN,PLL,Ponta Pelada Airport,-3.14603996276855,-59.9863014221191,Brazil,267,-4,America/Boa_Vista
2462,SBMO,MCZ,Zumbi dos Palmares Airport,-9.51080989837647,-35.7916984558105,Brazil,387,-3,America/Fortaleza
2463,SBMQ,MCP,Alberto Alcolumbre Airport,0.0506640002131,-51.0722007751,Brazil,56,-3,America/Fortaleza
2464,SBMS,MVF,Dix-Sept Rosado Airport,-5.2019200325,-37.3642997742,Brazil,76,-3,America/Fortaleza
2465,SBMT,,Campo de Marte Airport,-23.5090999603,-46.6377983093,Brazil,2368,-3,America/Sao_Paulo
2466,SBMY,MNX,Manicoré Airport,-5.8113799095154,-61.278301239014,Brazil,174,-4,America/Boa_Vista
2467,SBNF,NVT,Ministro Victor Konder International Airport,-26.879999,-48.651402,Brazil,18,-3,America/Sao_Paulo
2468,SBNM,GEL,Santo Ângelo Airport,-28.2817,-54.169102,Brazil,1056,-3,America/Sao_Paulo
2469,SBSG,NAT,Governador Aluízio Alves International Airport,-5.768056,-35.376111,Brazil,272,-3,America/Fortaleza
2470,SBOI,OYK,Oiapoque Airport,3.85548996925354,-51.7969017028809,Brazil,63,-3,America/Fortaleza
2471,SBPA,POA,Salgado Filho Airport,-29.9944000244141,-51.1713981628418,Brazil,11,-3,America/Sao_Paulo
2472,SBPB,PHB,Prefeito Doutor João Silva Filho Airport,-2.89374995232,-41.7319984436,Brazil,16,-3,America/Fortaleza
